note: This is not a comprehensive list of all Taco Bells. This is a list of all locations that have a store page on tacobell.com,,,,,,,,,,,,,,
data is current as of 28 August 2017,,,,,,,,,,,,,,
storeid,name,location-name,address,city,state,zip,phone,latitude,longitude,drive-thru,open-late,delivery,breakfast,combo w/
001570,Taco Bell #001570 - 11707 Merriman Rd.,11707 Merriman Rd.,11707 Merriman Rd.,Livonia,MI,48150,(734) 525-1740,42.36946993,-83.35313375,yes,yes,no,yes,
001571,Taco Bell #001571 - 5647 Dorchester Road,5647 Dorchester Road,5647 Dorchester Road,North Charleston,SC,29418,(843) 552-7287,32.86386204,-80.0500368,yes,yes,no,no,
001578,Taco Bell #001578 - 24247 Lorain Rd.,24247 Lorain Rd.,24247 Lorain Rd.,North Olmsted,OH,44070,(440) 779-9150,41.42821202,-81.89038396,yes,yes,no,yes,
001590,Taco Bell #001590 - 47154 Van Dyke Ave.,47154 Van Dyke Ave.,47154 Van Dyke Ave.,Shelby Township,MI,48317,(586) 254-2344,42.64185848,-83.0324247,yes,yes,no,yes,
001591,Taco Bell #001591 - 3651 State Avenue,3651 State Avenue,3651 State Avenue,Kansas City,KS,66102,(913) 321-6680,39.11631009,-94.6712856,yes,yes,no,yes,
001601,Taco Bell #001601 - 1937 Deer Park Avenue,1937 Deer Park Avenue,1937 Deer Park Avenue,Deer Park,NY,11729,(631) 586-6520,40.76351753,-73.32955559,yes,yes,no,yes,
001613,Taco Bell #001613 - 1209 N. Missouri St.,1209 N. Missouri St.,1209 N. Missouri St.,West Memphis,AR,72301,(870) 735-5709,35.1604463,-90.18432406,yes,yes,no,yes,
001618,Taco Bell #001618 - 5709 Broadway Blvd.,5709 Broadway Blvd.,5709 Broadway Blvd.,Garland,TX,75043,(972) 240-6039,32.84559434,-96.59598742,yes,yes,no,yes,
001636,Taco Bell #001636 - 5634 S Cedar,5634 S Cedar,5634 S Cedar,Lansing,MI,48911,(517) 393-8639,42.67535641,-84.54779327,yes,yes,no,yes,
001646,Taco Bell #001646 - 547 Merrick Road,547 Merrick Road,547 Merrick Road,Lynbrook,NY,11563,(516) 887-3258,40.66037993,-73.68205954,yes,yes,no,yes,
